Field Header,แสดงตาม Media Group,Field Type,Field Required,Value,Field Description
Maintenance End,แสดงทุก Media Group,Calendar,No,,มีใน CRM ปัจจุบัน
Presale Date,แสดงทุก Media Group,Calendar,No,,มีใน CRM ปัจจุบัน
Description Presale Date,แสดงทุก Media Group,Calendar,No,,มีใน CRM ปัจจุบัน
Rate Card (ราคาขาย),,,,,
Rate Card 2025,แสดงทุก Media Group,Number,Yes,,ราคาขายปีปัจจุบัน
Old Ratecard 2025,แสดงทุก Media Group,Number,No,,ราคาขายเดิมก่อนปรับ (หากมี)
Date Change,แสดงทุก Media Group,Calendar,Yes,,วันที่เปลี่ยนแปลงราคาขาย
Rate Card 2024,แสดงทุก Media Group,Number,Yes,,ราคาขายย้อนหลัง
Old Ratecard 2024,แสดงทุก Media Group,Number,No,,ราคาขายเดิมก่อนปรับ (หากมี)
Date Change,แสดงทุก Media Group,Calendar,Yes,,วันที่เปลี่ยนแปลงราคาขาย
Rate Card 2023,แสดงทุก Media Group,Number,Yes,,ราคาขายย้อนหลัง
Rate Card 2022,แสดงทุก Media Group,Number,Yes,,ราคาขายย้อนหลัง
Structure and Electric (โครงสร้างป้าย & ระบบไฟฟ้า),,,,,
Production Cost,แสดงทุก Media Group,Number,,,มีใน CRM ปัจจุบัน
Product Cost (UOM),แสดงทุก Media Group,Drop Down List,,,มีใน CRM ปัจจุบัน
Electric (ดวง),แสดงทุก Media Group,Number,,,มีใน CRM ปัจจุบัน
Electric Condition,แสดงทุก Media Group,Drop Down List,,"ทันที, ภายใน 7 วัน, ภายใน 10 วัน, ภายใน 45 วัน",มีใน CRM ปัจจุบัน
Cost Condition,แสดงทุก Media Group,Free Text,,,มีใน CRM ปัจจุบัน
Tax Cost (บาท/ป้าย),แสดงทุก Media Group,Number,,,มีใน CRM ปัจจุบัน
Electrict Type,แสดงทุก Media Group,Drop Down List,,"LED, Metal Halide, Light Box, Lighting, Digital, None, Other",มีใน CRM ปัจจุบัน
Asset Acquire,แสดงทุก Media Group,Drop Down List,Yes,"สร้างใหม่, ซื้อโครง, เช่าโครง, สัมปทาน",ประเภทการได้มาของทรัพย์สิน
Code (Structure),แสดงทุก Media Group,Free Text,Yes,,รหัสโครงป้าย จะสอดคล้องกับรหัสป้าย เพื่อเป็นข้อมูลตรวจสอบความเป็นโครงเดียวกัน
Operation Code,แสดงทุก Media Group,Free Text,Yes,,รหัสป้ายสำหรับ Backoffice ใช้บอกว่าเดิมเคยใช้รหัสป้ายอะไรมา ซึ่งอาจจะเหมือนหรือไม่เหมือนกับ Code ก็ได้
Face,แสดงทุก Media Group,Drop Down List,Yes,"A, B, C, S, Left (ซ้าย), Right (ขวา), Upper (บน), Below (ล่าง)",ประเภทหน้าป้ายรับสายตา เช่น ซ้าย-ขวา-บน-ล่าง
Direction 1,แสดงทุก Media Group,Number,No,,องศาการรับสายตาของป้าย/สื่อ
Direction 2,แสดงทุก Media Group,Number,No,,องศาการรับสายตาของป้าย/สื่อ
Grade / Tier,แสดงทุก Media Group,Drop Down List,No,"A, B, C",การจัดเกรดป้าย/สื่อ เพื่อใช้วิเคราะห์โอกาสในการขาย
Material Type,แสดงทุก Media Group,Drop Down List,Yes,"Frontlit Sticker /สติกเกอร์ทึบแสง, Backlit Sticker /สติกเกอร์โปร่งแสง, Paper Art Cards/กระดาษอาร์ตการ์ด, Frontlit Vinyl/ไวนิลทึบแสง, Backlit Vinyl /ไวนิลโปร่งแสง, Frontlit Vinyl/ไวนิลโปร่งแสง 1000x1000 หน้า 5 ม., Backlit Film / แบล็คลิสฟิล์ม, Transparent Sticker/สติ๊กเกอร์ใส รองขาว, Seethrough & Frontlit Sticker (ดำ)/สติ๊กเกอร์ซีทรูและสีดำเรียบ, อื่นๆ",วัสดุที่ใช้ในการผลิต ไวนิลโปร่งแสง Sticker Wrap
Signage Type,แสดงทุก Media Group,Drop Down List,Yes,"Light Box, Vinyl, Sticker Wrap, Backlit film, Sticker Wrap / Backlit Film, Sticker Wrap+Light Box, Vinyl+Light Box, LED Digital",ประเภทป้าย เช่น Light Box Sticker Wrap
View size Height (1),แสดงทุก Media Group,Number,Yes,,ขนาดความสูงสำหรับเสนอขาย ป้าย/จอ ที่ 1
View size Width (1),แสดงทุก Media Group,Number,Yes,,ขนาดความกว้างสำหรับเสนอขาย ป้าย/จอ ที่ 1
View size SQM./panel (1),แสดงทุก Media Group,Number,Yes,,ขนาดจากการคำนวณ สูง*กว้าง สำหรับเสนอขาย ป้าย/จอ ที่ 1
Material Height (1),แสดงทุก Media Group,Number,Yes,,ขนาดความสูงสำหรับงานผลิต ป้าย/จอ ที่ 1
Material Width (1),แสดงทุก Media Group,Number,Yes,,ขนาดความกว้างสำหรับงานผลิต ป้าย/จอ ที่ 1
Material SQM./panel (/),แสดงทุก Media Group,Number,Yes,,ขนาดจากการคำนวณ สูง*กว้าง สำหรับงานผลิต ป้าย/จอ ที่ 1
View size Height (2),แสดงทุก Media Group,Number,No,,ขนาดความสูงสำหรับเสนอขาย ป้าย/จอ ที่ 2
View size Width (2),แสดงทุก Media Group,Number,No,,ขนาดความกว้างสำหรับเสนอขาย ป้าย/จอ ที่ 2
View size SQM./panel (2),แสดงทุก Media Group,Number,No,,ขนาดจากการคำนวณ สูง*กว้าง สำหรับเสนอขาย ป้าย/จอ ที่ 2
Material Height (2),แสดงทุก Media Group,Number,No,,ขนาดความสูงสำหรับงานผลิต ป้าย/จอ ที่ 2
Material Width (2),แสดงทุก Media Group,Number,No,,ขนาดความกว้างสำหรับงานผลิต ป้าย/จอ ที่ 2
Material SQM./panel (2),แสดงทุก Media Group,Number,No,,ขนาดจากการคำนวณ สูง*กว้าง สำหรับงานผลิต ป้าย/จอ ที่ 2
View size Height (3),แสดงทุก Media Group,Number,No,,ขนาดความสูงสำหรับเสนอขาย ป้าย/จอ ที่ 3
View size Width (3),แสดงทุก Media Group,Number,No,,ขนาดความกว้างสำหรับเสนอขาย ป้าย/จอ ที่ 3
View size SQM./panel (3),แสดงทุก Media Group,Number,No,,ขนาดจากการคำนวณ สูง*กว้าง สำหรับเสนอขาย ป้าย/จอ ที่ 3
Material Height (3),แสดงทุก Media Group,Number,No,,ขนาดความสูงสำหรับงานผลิต ป้าย/จอ ที่ 3
Material Width (3),แสดงทุก Media Group,Number,No,,ขนาดความกว้างสำหรับงานผลิต ป้าย/จอ ที่ 3
Material SQM./panel (3),แสดงทุก Media Group,Number,No,,ขนาดจากการคำนวณ สูง*กว้าง สำหรับงานผลิต ป้าย/จอ ที่ 3
Height Unit,แสดงทุก Media Group,Drop Down List,No,"M, CM, PX",หน่วยวัดขนาดความสูง
Width Unit,แสดงทุก Media Group,Drop Down List,No,"M, CM, PX",หน่วยวัดขนาดความกว้าง
Position,แสดงทุก Media Group,Drop Down List,Yes,"ป้ายบนดิน, ป้ายผนังอาคาร, ป้ายดาดฟ้าอาคาร, TopShelf จอติดตั้งหน้า-หลัง (A+B) เหนือชั้นวางสินค้าระหว่างทางเดิน, Open Type เหนือตู้แช่แบบเปิด, Over Vault เหนือตู้แช่เครื่องดื่ม,",ตำแหน่งป้าย/สื่อ แบ่งกลุ่มตามลักษณะของแต่ละประเภทสื่อ
Structure Type,แสดงทุก Media Group,Drop Down List,Yes,"โครงผนังอาคาร, โครง Truss บนพื้นดิน, โครง Truss บนอาคาร, โครงเสากลมเดี่ยว, โครงเสากลม 2 เสา, โครงเสากลม 3 เสา, โครงเสากลม 4 เสา, โครง Truss เสาเดี่ยว, โครง Truss เสาคู่, โครง Truss 3 เสา, โครง Truss 4 เสา, กรอบป้าย, กล่องไฟ, Sticker Wrap, ไม่มีโครงสร้าง",โครงสร้างป้าย/สื่อ แบ่งกลุ่มตามลักษณะของแต่ละประเภทสื่อ
Background,แสดงทุก Media Group,Radio,Yes,มี/ไม่มีแผ่นรองหลัง,มี/ไม่มีแผ่นรองหลัง
License,แสดงทุก Media Group,Radio,Yes,มี/ไม่มีใบอนุญาตก่อสร้างป้ายโฆษณา,มี/ไม่มีใบอนุญาตก่อสร้างป้ายโฆษณา
Media data change history,แสดงทุก Media Group,Free Text,No,,"ประวัติการเปลี่ยนแปลงข้อมูลสื่อ เช่น ขนาด, ไฟ"
Remark back office,แสดงทุก Media Group,Free Text,No,,หมายเหตุเพิ่มเติมเพื่อเป็นข้อมูลประกอบ
